user_id	retweeted	count
1068499286	137794015	1
1068499286	18061669	1
1068499286	20552026	8
1068499286	1058917562	12
1068499286	221792092	2
1068499286	140519774	3
1068499286	161791703	2
1068499286	28602948	2
1068499286	28599820	5
1068499286	813286	1
1068499286	787373558	2
1068499286	1071840474	1
1068499286	1074129612	1
1068499286	806906355214852096	1
1068499286	58928690	4
1068499286	31801993	1
1068499286	815733290955112448	1
1068499286	1092979962	3
1068499286	1045110018	7
1068499286	56864092	2
1068499286	117501995	8
1068499286	1055685948	1
1068499286	1080509366	2
1068499286	815985039485837312	1
1068499286	19394188	2
1068499286	293131808	9
1068499286	29450962	5
1068499286	516880804	2
1068499286	1060984272	2
1068499286	80612021	1
1068499286	239949176	2
1068499286	796183515998068736	5
1068499286	29501253	11
1068499286	82453460	1
1068499286	432676344	4
1068499286	13491312	1
1068499286	78445977	1
1068499286	942156122	3
1068499286	15764644	4
1068499286	816157667882373120	1
1068499286	111635980	5
1068499286	163570705	5
1068499286	1531521632	3
1068499286	558769636	1
1068499286	1068499286	5
1068499286	92186819	1
1068499286	20545793	2
1068499286	39249305	1
1068499286	36686040	5
1068499286	364415553	2
1068499286	25781141	2
1068499286	249348006	1
1068499286	796736612554117120	1
1068499286	381152398	2
1068499286	172858784	1
1068499286	1037321378	1
1068499286	995193054	3
1068499286	2968451607	3
1068499286	18916432	1
1068499286	1077121945	2
1068499286	2962868158	2
1068499286	814179031956488192	1
1068499286	1339835893	1
1068499286	153486399	2
1068499286	1058520120	3
1068499286	24195214	1
1068499286	1339931490	1
1068499286	84119348	4
1068499286	240812994	1
1068499286	50452197	1
1068499286	1135486501	1
1068499286	38254095	1
1068499286	133832049	1
1068499286	210926192	1
1068499286	19318314	1
1068499286	303861808	1
1068499286	2970462034	2
1068499286	404132211	4
1068499286	242426145	1
1068499286	248495200	2
1068499286	1222257180	2
1068499286	258900199	1
1068499286	2916086925	1
1068499286	14135426	1
1068499286	3044993235	1
1068499286	2253968388	1
1068499286	385429543	1
1068499286	2968007206	1
1068499286	231510077	1
1068499286	2930635215	1
1068499286	15954997	1
1068499286	74508260	1
1068499286	252249233	2
1068499286	24745957	1
1068499286	85396297	2
1068499286	1410590874	1
1068499286	18137749	2
1068499286	2970279814	1
1068499286	462143773	1
1068499286	267854863	1
1068499286	2433737761	1
1068499286	1051127714	1
1068499286	1260172386	1
161743731	18916432	7
161743731	19926675	1
161743731	17976923	3
161743731	22545491	1
161743731	1209417007	5
161743731	18030431	1
161743731	815966620300480514	1
161743731	2963445730	1
161743731	828977216595849216	1
161743731	137794015	1
161743731	2933760046	1
161743731	15751083	1
161743731	14275291	2
161743731	20053279	1
161743731	13491312	1
161743731	13218102	1
22545491	818910970567344128	5
22545491	22545491	19
22545491	2966205003	1
22545491	988573326376427520	3
22545491	98471035	1
22545491	1069124515	2
22545491	18916432	48
22545491	827258161841135623	7
22545491	1209417007	10
22545491	1249982359	2
22545491	1058460818	1
22545491	17976923	3
22545491	1074101017	1
22545491	15751083	1
22545491	52503751	1
22545491	19926675	3
22545491	25073877	4
22545491	14275291	1
22545491	1051446626	1
22545491	799764016885329921	1
22545491	2933760046	1
22545491	303861808	2
22545491	842072478834909184	1
22545491	819980276570976256	1
22545491	124224165	1
22545491	246769138	2
22545491	950328072	1
22545491	1074412920	1
22545491	968650362	1
22545491	20053279	1
22545491	20545793	1
22545491	975200486	1
1480852568	1480852568	268
1480852568	7429102	1
1480852568	25073877	8
1480852568	262756641	9
1480852568	1339835893	1
1480852568	88784440	1
1480852568	16056306	1
1480852568	15764644	1
1480852568	815966620300480514	1
1480852568	18915145	1
1480852568	217543151	2
1480852568	15745368	1
1480852568	202206694	1
1480852568	432895323	2
1480852568	10615232	2
1480852568	18805303	1
1480852568	19394188	1
171968009	171968009	8
171968009	970207298	1
171968009	262756641	1
171968009	250188760	3
171968009	29450962	2
171968009	19394188	1
171968009	21406834	3
171968009	92186819	1
171968009	19726613	1
171968009	242836537	6
171968009	60828944	1
171968009	247334603	1
171968009	946549322	1
