user_id	liked	count
1068499286	1058917562	10
1068499286	29501253	4
1068499286	404132211	4
1068499286	815733290955112448	2
1068499286	293131808	16
1068499286	1135486501	5
1068499286	23600262	1
1068499286	29450962	6
1068499286	1045110018	6
1068499286	796183515998068736	11
1068499286	20552026	6
1068499286	823552974253342721	2
1068499286	1055685948	2
1068499286	153486399	1
1068499286	19394188	1
1068499286	516880804	2
1068499286	239949176	3
1068499286	1339931490	1
1068499286	1092979962	1
1068499286	1055907624	4
1068499286	31801993	1
1068499286	72198806	1
1068499286	248735463	1
1068499286	486694111	1
1068499286	111635980	1
1068499286	28599820	1
1068499286	163570705	4
1068499286	1531521632	6
1068499286	558769636	2
1068499286	58928690	5
1068499286	22669526	5
1068499286	117501995	11
1068499286	818536152588238849	1
1068499286	267854863	1
1068499286	1209417007	1
1068499286	1080509366	1
1068499286	950783972	1
1068499286	258900199	2
1068499286	162069635	1
1068499286	2962868158	1
1068499286	38254095	1
1068499286	164369297	1
1068499286	84119348	2
1068499286	1058717720	1
1068499286	1068499286	7
1068499286	2930635215	2
1068499286	13491312	1
1068499286	155669457	1
1068499286	1530850933	1
1068499286	25781141	1
1068499286	50452197	3
1068499286	432676344	1
1068499286	1060984272	1
1068499286	995193054	9
1068499286	82453460	1
1068499286	210926192	1
1068499286	1058520120	1
1068499286	462143773	1
1068499286	2968451607	2
1068499286	193732179	1
1068499286	1077121945	1
1068499286	942156122	1
1068499286	2970462034	2
1068499286	1222257180	2
1068499286	581141508	2
1068499286	36686040	2
1068499286	1051127714	1
1068499286	2970279814	1
1068499286	248495200	1
1068499286	2966570782	1
1068499286	2916086925	3
1068499286	39249305	1
1068499286	156333623	1
1068499286	20545793	1
1068499286	236511574	2
1068499286	2253968388	1
1068499286	85396297	1
1068499286	199325935	1
1068499286	18137749	1
1068499286	31611298	1
1068499286	252249233	1
1068499286	1071840474	1
161743731	18916432	1
161743731	37094727	2
161743731	235190657	1
161743731	20053279	1
161743731	816652616625168388	1
161743731	23124635	2
161743731	15751083	1
161743731	76452765	1
161743731	1209417007	1
161743731	161743731	1
22545491	1069124515	1
22545491	22545491	3
22545491	17976923	1
22545491	1209417007	1
22545491	2327941633	1
1480852568	262756641	2
1480852568	217543151	1
1480852568	7429102	1
1480852568	18805303	1
1480852568	225921757	2
1480852568	15745368	1
1480852568	11651202	1
171968009	18137749	2
171968009	92186819	2
171968009	24195214	1
171968009	250188760	1
171968009	15808765	1
171968009	1058520120	2
171968009	236511574	1
171968009	18915145	1
171968009	249787913	1
171968009	21406834	3
171968009	1074518754	7
171968009	150078976	2
171968009	29201047	1
171968009	247334603	1
171968009	242836537	3
171968009	33537967	1
171968009	516880804	1
171968009	15324851	1
171968009	278124059	2
171968009	558769636	1
171968009	1339931490	3
171968009	2962868158	1
171968009	293131808	1
811313565760163844	19726613	4
811313565760163844	18695134	17
811313565760163844	76649729	1
811313565760163844	17494010	15
811313565760163844	247334603	7
811313565760163844	293131808	10
811313565760163844	1074518754	3
811313565760163844	92186819	6
811313565760163844	18137749	11
811313565760163844	946549322	7
811313565760163844	486694111	2
811313565760163844	1058520120	9
811313565760163844	941080085121175552	11
811313565760163844	970207298	24
811313565760163844	18909919	2
811313565760163844	18061669	1
811313565760163844	242836537	1
811313565760163844	21406834	9
811313565760163844	815733290955112448	1
811313565760163844	19394188	5
811313565760163844	47747074	15
811313565760163844	150078976	20
811313565760163844	29201047	13
811313565760163844	278124059	11
811313565760163844	72198806	5
811313565760163844	266133081	3
811313565760163844	242555999	3
811313565760163844	816282029276938240	13
811313565760163844	2856787757	2
811313565760163844	16160352	4
811313565760163844	1068481578	1
811313565760163844	15324851	3
811313565760163844	20597460	3
811313565760163844	14275291	1
811313565760163844	109071031	1
811313565760163844	7429102	3
811313565760163844	816683274076614656	2
811313565760163844	815985039485837312	1
811313565760163844	939091	6
811313565760163844	172858784	5
811313565760163844	15808765	1
811313565760163844	515822213	4
811313565760163844	15764644	4
811313565760163844	1055907624	2
811313565760163844	250188760	10
811313565760163844	60828944	7
811313565760163844	171598736	4
811313565760163844	234374703	2
811313565760163844	29450962	1
811313565760163844	813286	3
811313565760163844	30354991	1
811313565760163844	33537967	2
811313565760163844	171968009	2
811313565760163844	264219447	1
811313565760163844	378631423	1
811313565760163844	600463589	1
309070309	2962868158	1
309070309	24768753	1
309070309	29201047	4
309070309	334894942	34
