user_id	reply_to	count
819227166281826306	25073877	188
819227166281826306	819227166281826306	117
819227166281826306	963480595	3
819227166281826306	138203134	3
819227166281826306	32871086	4
819227166281826306	15220768	4
819227166281826306	15754281	1
819227166281826306	15115280	16
819227166281826306	38495835	3
819227166281826306	19568591	1
819227166281826306	1209417007	5
819227166281826306	11134252	64
819227166281826306	21059255	18
819227166281826306	39344374	22
819227166281826306	205392468	2
819227166281826306	31122582	2
819227166281826306	713839291210792960	1
819227166281826306	822215673812119553	4
819227166281826306	233842454	2
819227166281826306	196168350	11
819227166281826306	39155029	3
819227166281826306	2968007206	1
819227166281826306	10126672	1
819227166281826306	11347122	2
819227166281826306	479872233	1
819227166281826306	1392282998	1
819227166281826306	28602948	1
819227166281826306	13850422	3
819227166281826306	2884771	4
819227166281826306	4207961	2
819227166281826306	130496027	2
819227166281826306	29501253	7
819227166281826306	36686040	3
819227166281826306	942156122	6
819227166281826306	224285242	2
819227166281826306	11651202	1
819227166281826306	382791093	2
819227166281826306	14717197	1
819227166281826306	132339474	9
819227166281826306	2922928743	2
819227166281826306	2800581040	1
819227166281826306	818910970567344128	11
819227166281826306	80617430	2
819227166281826306	19739126	1
819227166281826306	15207668	1
819227166281826306	3044993235	2
819227166281826306	28599820	1
819227166281826306	1020058453	2
819227166281826306	813286	1
819227166281826306	16244449	2
819227166281826306	2836421	8
819227166281826306	15764644	6
819227166281826306	1917731	13
819227166281826306	59331128	1
819227166281826306	49698134	2
819227166281826306	834081571493785600	1
819227166281826306	22799750	2
819227166281826306	800707492346925056	3
819227166281826306	5695632	1
819227166281826306	292929271	28
819227166281826306	50152441	1
819227166281826306	22545491	1
819227166281826306	91386979	1
819227166281826306	1078693601356509184	1
819227166281826306	19195094	1
819227166281826306	2970462034	2
819227166281826306	2962868158	1
819227166281826306	1077121945	1
819227166281826306	1009269193	1
819227166281826306	305216911	1
819227166281826306	15745368	17
819227166281826306	50055701	2
819227166281826306	14270650	1
819227166281826306	432895323	4
819227166281826306	80612021	1
819227166281826306	13491312	2
819227166281826306	1055907624	2
819227166281826306	14173315	3
819227166281826306	30354991	8
819227166281826306	1383272101	2
819227166281826306	14412533	5
819227166281826306	14293310	2
819227166281826306	22012091	1
819227166281826306	16311797	1
819227166281826306	118756393	1
819227166281826306	41634520	5
819227166281826306	171598736	4
819227166281826306	78403308	1
819227166281826306	19417492	2
819227166281826306	807095	3
819227166281826306	16056306	6
819227166281826306	818927131883356161	4
819227166281826306	74820061	1
819227166281826306	846405048	2
819227166281826306	2236520198	1
819227166281826306	22703645	1
819227166281826306	18915145	4
819227166281826306	820354372827758592	1
819227166281826306	564111558	1
819227166281826306	35218566	3
819227166281826306	1877831	2
819227166281826306	75364211	1
819227166281826306	476256944	6
819227166281826306	19394188	4
819227166281826306	39349894	2
819227166281826306	23970102	2
819227166281826306	9300262	1
819227166281826306	15012486	2
819227166281826306	28785486	2
819227166281826306	21268897	1
819227166281826306	975200486	1
819227166281826306	1058807868	2
819227166281826306	21111098	1
819227166281826306	18632666	2
819227166281826306	293131808	3
819227166281826306	1367531	13
819227166281826306	11856032	1
819227166281826306	15513604	2
819227166281826306	816157667882373120	1
819227166281826306	21619519	1
819227166281826306	244655353	2
819227166281826306	259395895	1
819227166281826306	262756641	2
819227166281826306	15416505	7
819227166281826306	941000686275387392	1
819227166281826306	52544275	3
819227166281826306	956283913835614208	1
819227166281826306	2750127259	3
819227166281826306	14669951	1
819227166281826306	18028893	1
819227166281826306	3108351	1
819227166281826306	18510860	2
819227166281826306	24578794	2
819227166281826306	219429281	1
819227166281826306	21829541	4
819227166281826306	23022687	2
819227166281826306	1061029050	1
819227166281826306	18916432	7
819227166281826306	109071031	2
819227166281826306	803694179079458816	1
819227166281826306	16898332	1
819227166281826306	31310158	1
819227166281826306	5741722	1
819227166281826306	301549400	1
819227166281826306	225921757	1
819227166281826306	246357149	1
819227166281826306	828997388920619008	3
819227166281826306	131497030	1
819227166281826306	14437914	1
819227166281826306	20713061	2
819227166281826306	73303753	1
819227166281826306	91478624	1
819227166281826306	1074480192	1
819227166281826306	73181712	3
819227166281826306	15463671	2
819227166281826306	14529929	2
819227166281826306	112047805	1
819227166281826306	20776147	4
819227166281826306	398088661	1
819227166281826306	20597460	1
819227166281826306	759251	4
819227166281826306	227837742	1
819227166281826306	106514937	1
819227166281826306	14511951	1
819227166281826306	432771620	1
819227166281826306	12354832	1
819227166281826306	2964949642	1
819227166281826306	18686907	2
819227166281826306	9624742	5
819227166281826306	1176994477	1
819227166281826306	827258161841135623	1
819227166281826306	138809881	1
819227166281826306	7702542	4
819227166281826306	733751245	1
819227166281826306	65493023	20
819227166281826306	40116885	1
819227166281826306	21313053	1
819227166281826306	874916178	1
819227166281826306	29201047	1
819227166281826306	7713202	1
819227166281826306	218975278	1
819227166281826306	1131917492	1
819227166281826306	29458079	1
819227166281826306	79743108	1
819227166281826306	457984599	2
819227166281826306	34713362	3
819227166281826306	248735463	2
819227166281826306	158426909	1
819227166281826306	326255267	1
819227166281826306	38516217	1
819227166281826306	48117116	1
819227166281826306	88806753	1
819227166281826306	50769180	1
819227166281826306	1017637447	1
819227166281826306	242555999	2
819227166281826306	139738464	1
819227166281826306	38936142	1
819227166281826306	18983793	1
819227166281826306	16129106	1
819227166281826306	71627462	1
819227166281826306	21768766	1
819227166281826306	965266179836252161	1
819227166281826306	4898091	1
819227166281826306	1051127714	1
819227166281826306	216881337	2
819227166281826306	10168082	1
819227166281826306	51241574	1
819227166281826306	18695134	1
819227166281826306	818948638890217473	1
819227166281826306	19139963	2
819227166281826306	21316253	1
819227166281826306	970207298	6
819227166281826306	832672006113931269	1
819227166281826306	18791763	1
819227166281826306	281610530	1
819227166281826306	808726604352462849	1
819227166281826306	21406834	2
819227166281826306	233949261	1
819227166281826306	45399148	1
819227166281826306	471672239	8
819227166281826306	1135486501	1
819227166281826306	382685028	1
819227166281826306	17469289	1
819227166281826306	941080085121175552	1
819227166281826306	236279233	1
819227166281826306	1249982359	1
819227166281826306	13218102	1
819227166281826306	17896154	3
819227166281826306	18061669	2
819227166281826306	1068481578	1
819227166281826306	216776631	1
