follower	followee	count
819992522109894658	842072478834909184	1
33977070	842072478834909184	1
842072478834909184	819992522109894658	1
842072478834909184	888031054141022209	1
842072478834909184	834069080	1
842072478834909184	935148134505828353	1
842072478834909184	2965083477	1
842072478834909184	18061669	1
842072478834909184	988573326376427520	1
842072478834909184	460376288	1
842072478834909184	236511574	1
842072478834909184	515822213	1
842072478834909184	11651202	1
842072478834909184	862405301693296640	1
842072478834909184	1096059529	1
842072478834909184	291756142	1
842072478834909184	202206694	1
842072478834909184	76649729	1
842072478834909184	237348797	1
842072478834909184	73303753	1
842072478834909184	1249982359	1
842072478834909184	296361085	1
842072478834909184	10615232	1
842072478834909184	1074480192	1
842072478834909184	600463589	1
842072478834909184	18632666	1
842072478834909184	75364211	1
842072478834909184	217543151	1
842072478834909184	2856787757	1
842072478834909184	968650362	1
842072478834909184	819980276570976256	1
842072478834909184	5558312	1
842072478834909184	249410485	1
842072478834909184	18916432	1
842072478834909184	799764016885329921	1
842072478834909184	190328374	1
842072478834909184	15007149	1
842072478834909184	829782369670410240	1
842072478834909184	25073877	1
842072478834909184	826065858548133888	1
842072478834909184	828613457020870657	1
842072478834909184	827258161841135623	1
842072478834909184	836305915452272641	1
842072478834909184	818910970567344128	1
842072478834909184	2863210809	1
819992522109894658	888031054141022209	1
3686482216	888031054141022209	1
888031054141022209	836305915452272641	1
888031054141022209	25073877	1
3686482216	819992522109894658	1
880480631108644864	819992522109894658	1
2929491549	819992522109894658	1
926446070812602371	819992522109894658	1
819992522109894658	988573326376427520	1
819992522109894658	956283913835614208	1
819992522109894658	935148134505828353	1
819992522109894658	32010840	1
819992522109894658	242376736	1
819992522109894658	935368364	1
819992522109894658	819980276570976256	1
819992522109894658	25073877	1
819992522109894658	1249982359	1
819992522109894658	18916432	1
819992522109894658	1096059529	1
819992522109894658	237750442	1
819992522109894658	829782369670410240	1
819992522109894658	826065858548133888	1
819992522109894658	836305915452272641	1
819992522109894658	828613457020870657	1
819992522109894658	827258161841135623	1
819992522109894658	799764016885329921	1
819992522109894658	818910970567344128	1
1010616057932013571	2970279814	1
1010616057932013571	236511574	1
1010616057932013571	25781141	1
1010616057932013571	1045110018	1
1010616057932013571	36686040	1
816303263586914304	816652616625168388	1
26778110	816652616625168388	1
18166778	816652616625168388	1
2861616083	816652616625168388	1
18967498	816652616625168388	1
2930635215	816652616625168388	1
776664410	816652616625168388	1
880480631108644864	816652616625168388	1
3026622545	816652616625168388	1
808416682972770304	816652616625168388	1
818460870573441028	816652616625168388	1
234822928	816652616625168388	1
818713465653051392	816652616625168388	1
19168067	816652616625168388	1
2975091705	816652616625168388	1
2953974395	816652616625168388	1
2966205003	816652616625168388	1
20053279	816652616625168388	1
234022257	816652616625168388	1
815952318487298048	816652616625168388	1
22055226	816652616625168388	1
233842454	816652616625168388	1
819744763020775425	816652616625168388	1
1058460818	816652616625168388	1
37920978	816652616625168388	1
935033864	816652616625168388	1
2929491549	816652616625168388	1
935368364	816652616625168388	1
34715823	816652616625168388	1
818975124460335106	816652616625168388	1
240760644	816652616625168388	1
1499993378	816652616625168388	1
816131319033950208	816652616625168388	1
2964877294	816652616625168388	1
51228911	816652616625168388	1
237299871	816652616625168388	1
2914515430	816652616625168388	1
1209417007	816652616625168388	1
1074101017	816652616625168388	1
2862577383	816652616625168388	1
1060370282	816652616625168388	1
2976606250	816652616625168388	1
234057152	816652616625168388	1
827258161841135623	816652616625168388	1
229197216	816652616625168388	1
816652616625168388	819992522109894658	1
816652616625168388	842072478834909184	1
816652616625168388	836305915452272641	1
816652616625168388	17896154	1
816652616625168388	815931811348017152	1
816652616625168388	806583915012046854	1
816652616625168388	816303263586914304	1
816652616625168388	299883942	1
816652616625168388	26778110	1
816652616625168388	2966758114	1
816652616625168388	2962994194	1
816652616625168388	2861616083	1
816652616625168388	37094727	1
816652616625168388	18967498	1
816652616625168388	296245061	1
816652616625168388	124224165	1
816652616625168388	2930635215	1
816652616625168388	2973870195	1
816652616625168388	1289319271	1
816652616625168388	880480631108644864	1
816652616625168388	15856366	1
816652616625168388	15394954	1
816652616625168388	818460870573441028	1
816652616625168388	808416682972770304	1
816652616625168388	18566912	1
816652616625168388	2847221717	1
816652616625168388	234822928	1
816652616625168388	242926427	1
816652616625168388	2975091705	1
816652616625168388	843636970538618880	1
816652616625168388	2953974395	1
816652616625168388	252819323	1
816652616625168388	233693291	1
816652616625168388	976969338	1
816652616625168388	1051446626	1
816652616625168388	1058345042	1
816652616625168388	237862972	1
816652616625168388	32010840	1
816652616625168388	2966205003	1
816652616625168388	1065995022	1
816652616625168388	20053279	1
816652616625168388	1072008757	1
816652616625168388	211420609	1
816652616625168388	234022257	1
816652616625168388	815952318487298048	1
816652616625168388	17976923	1
816652616625168388	2962891515	1
816652616625168388	52503751	1
816652616625168388	76452765	1
816652616625168388	550401754	1
816652616625168388	33977070	1
816652616625168388	237750442	1
816652616625168388	17544524	1
816652616625168388	22055226	1
816652616625168388	23970171	1
816652616625168388	2964287128	1
816652616625168388	1058460818	1
816652616625168388	14275291	1
816652616625168388	88784440	1
816652616625168388	233842454	1
816652616625168388	935033864	1
816652616625168388	233949261	1
816652616625168388	237814920	1
816652616625168388	2966765501	1
816652616625168388	37920978	1
816652616625168388	1305596696	1
816652616625168388	2929491549	1
816652616625168388	935368364	1
816652616625168388	34715823	1
816652616625168388	1155212191	1
816652616625168388	2963445730	1
816652616625168388	834069080	1
816652616625168388	240760644	1
816652616625168388	1499993378	1
816652616625168388	98471035	1
