follower	followee	count
819992522109894658	842072478834909184	1
52521572	842072478834909184	1
16807621	842072478834909184	1
26283307	842072478834909184	1
24196684	842072478834909184	1
16456599	842072478834909184	1
830908366377611266	842072478834909184	1
202952121	842072478834909184	1
212403124	842072478834909184	1
33977070	842072478834909184	1
770671228059283456	842072478834909184	1
71028773	842072478834909184	1
49732531	842072478834909184	1
47095259	842072478834909184	1
773678778	842072478834909184	1
842072478834909184	819992522109894658	1
842072478834909184	888031054141022209	1
842072478834909184	599530439	1
842072478834909184	58120509	1
842072478834909184	2330590446	1
842072478834909184	834069080	1
842072478834909184	935148134505828353	1
842072478834909184	2965083477	1
842072478834909184	18061669	1
842072478834909184	14107459	1
842072478834909184	44930735	1
842072478834909184	988573326376427520	1
842072478834909184	3063438354	1
842072478834909184	460376288	1
842072478834909184	840236394865930240	1
842072478834909184	42670638	1
842072478834909184	21675438	1
842072478834909184	236511574	1
842072478834909184	515822213	1
842072478834909184	11651202	1
842072478834909184	1906282568	1
842072478834909184	19036725	1
842072478834909184	94620285	1
842072478834909184	18943752	1
842072478834909184	14261617	1
842072478834909184	862405301693296640	1
842072478834909184	1096059529	1
842072478834909184	291756142	1
842072478834909184	202206694	1
842072478834909184	76649729	1
842072478834909184	237348797	1
842072478834909184	73303753	1
842072478834909184	1249982359	1
842072478834909184	256237842	1
842072478834909184	1310607152	1
842072478834909184	824389632632778755	1
842072478834909184	830177829736345600	1
842072478834909184	373024636	1
842072478834909184	41543268	1
842072478834909184	19914859	1
842072478834909184	41670073	1
842072478834909184	2417586104	1
842072478834909184	620571475	1
842072478834909184	5509762	1
842072478834909184	823693635564802048	1
842072478834909184	74164455	1
842072478834909184	57430197	1
842072478834909184	21613782	1
842072478834909184	297112640	1
842072478834909184	23272358	1
842072478834909184	28471924	1
842072478834909184	38441030	1
842072478834909184	296361085	1
842072478834909184	10615232	1
842072478834909184	20055774	1
842072478834909184	1074480192	1
842072478834909184	600463589	1
842072478834909184	18632666	1
842072478834909184	75364211	1
842072478834909184	217543151	1
842072478834909184	2856787757	1
842072478834909184	968650362	1
842072478834909184	819980276570976256	1
842072478834909184	5558312	1
842072478834909184	528949429	1
842072478834909184	26953478	1
842072478834909184	249410485	1
842072478834909184	18916432	1
842072478834909184	799764016885329921	1
842072478834909184	249677516	1
842072478834909184	37066930	1
842072478834909184	18023140	1
842072478834909184	50339952	1
